epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2
1,16.0928,0.98507,0.68837,1,0.59309,0.000235733,0.000235733,0.000235733
2,28.5681,0.71483,0.69302,1,0.60076,0.000464353,0.000464353,0.000464353
3,40.9239,0.66777,0.5814,1,0.60257,0.000683549,0.000683549,0.000683549
4,52.5281,0.6368,0.68837,1,0.55029,0.000671588,0.000671588,0.000671588
5,64.1243,0.5981,0.63721,1,0.55842,0.000657451,0.000657451,0.000657451
6,75.5559,0.58603,0.71163,1,0.58336,0.000643314,0.000643314,0.000643314
7,87.4519,0.57498,0.69767,1,0.51242,0.000629177,0.000629177,0.000629177
8,97.7751,0.53788,0.69302,1,0.51744,0.00061504,0.00061504,0.00061504
9,108.107,0.53115,0.67907,1,0.50153,0.000600902,0.000600902,0.000600902
10,118.657,0.51812,0.69302,1,0.49212,0.000586765,0.000586765,0.000586765
11,129.767,0.50645,0.66977,1,0.48905,0.000572628,0.000572628,0.000572628
12,141.51,0.52952,0.69302,1,0.49076,0.000558491,0.000558491,0.000558491
13,153.221,0.4939,0.70698,1,0.50488,0.000544354,0.000544354,0.000544354
14,164.385,0.52773,0.68372,1,0.48692,0.000530216,0.000530216,0.000530216
15,176.321,0.51006,0.68837,1,0.49009,0.000516079,0.000516079,0.000516079
16,188.144,0.49814,0.70233,1,0.47576,0.000501942,0.000501942,0.000501942
